"location_id","location_code","location_name","location_description","reported_crs","reported_latitude","reported_longitude","longitude","latitude","domain_state","subregion_id"
8216,"hollandscheijssel.13","Hollandsche IJssel, 13","Hollandsche IJssel, 13","ETRS89",51.936977,4.634363,4.634363,51.936977,"outside_domain",
1907,"hollandscheijssel.14","Hollandsche IJssel, 14","Hollandsche IJssel, 14","ETRS89",51.934631,4.620501,4.620501,51.934631,"outside_domain",
18393,"hollandscheijssel.15","Hollandsche IJssel, 15","Hollandsche IJssel, 15","ETRS89",51.926475,4.614403,4.614403,51.926475,"outside_domain",
1524,"hollandscheijssel.16","Hollandsche IJssel, 16","Hollandsche IJssel, 16","ETRS89",51.926655,4.600966,4.600966,51.926655,"outside_domain",
4640,"hollandscheijssel.17","Hollandsche IJssel, 17","Hollandsche IJssel, 17","ETRS89",51.921952,4.58859,4.58859,51.921952,"outside_domain",
18008,"hollandscheijssel.18","Hollandsche IJssel, 18","Hollandsche IJssel, 18","ETRS89",51.916286,4.579025,4.579025,51.916286,"outside_domain",
4934,"hollandscheijssel.19","Hollandsche IJssel, 19","Hollandsche IJssel, 19","ETRS89",51.910282,4.568625,4.568625,51.910282,"outside_domain",
13819,"hollandscheijssel.19p7","Hollandsche IJssel, 19.7","Hollandsche IJssel, 19.7","ETRS89",51.908232,4.559579,4.559579,51.908232,"outside_domain",
278,"hollandscheijssel.2","Hollandsche IJssel, 2","Hollandsche IJssel, 2","ETRS89",52.001768,4.707096,4.707096,52.001768,"outside_domain",
3006,"hollandscheijssel.7","Hollandsche IJssel, 7","Hollandsche IJssel, 7","ETRS89",51.97581,4.654714,4.654714,51.97581,"outside_domain",
12806,"hollandscheijssel.8","Hollandsche IJssel, 8","Hollandsche IJssel, 8","ETRS89",51.971895,4.642422,4.642422,51.971895,"outside_domain",
12653,"hollandscheijssel.9","Hollandsche IJssel, 9","Hollandsche IJssel, 9","ETRS89",51.967482,4.631218,4.631218,51.967482,"outside_domain",
10336,"hollandsdiep.noordwest1","Hollands Diep, noordwest 01","Hollands Diep, noordwest 01","ETRS89",51.715529,4.415418,4.415418,51.715529,"core","southern_and_central_north_sea"
12145,"hollandsdiep.noordwest2","Hollands Diep, noordwest 02","Hollands Diep, noordwest 02","ETRS89",51.710133,4.413957,4.413957,51.710133,"core","southern_and_central_north_sea"
13805,"hollandsebrug.oudelandzijde","Hollandsebrug, oude landzijde","Hollandsebrug, oude landzijde","ETRS89",52.324331,5.138578,5.138578,52.324331,"core","southern_and_central_north_sea"
8156,"hollandseijssel.km12.ntb","Hollandse IJssel, km 12, ntb","Hollandse IJssel, km 12, ntb","ETRS89",51.944901,4.636616,4.636616,51.944901,"outside_domain",
4066,"hollandsekust.noord.alpha","Hollandse Kust Noord Alpha","Hollandse Kust Noord Alpha","ETRS89",52.69777,4.2935,4.2935,52.69777,"core","southern_and_central_north_sea"
14367,"hollandsekust.noord.deelgebied","Hollandse kust, noord , deelgebied","Hollandse kust, noord , deelgebied","ETRS89",52.754793,4.602027,4.602027,52.754793,"core","southern_and_central_north_sea"
3946,"hollandsekust.noord.windparknoord","Hollandse Kust, Noord Windpark Noord","Hollandse Kust, Noord Windpark Noord","ETRS89",52.783,4.285,4.285,52.783,"core","southern_and_central_north_sea"
8,"hollandsekust.noord.windparkzuid","Hollandse Kust, Noord Windpark Zuid","Hollandse Kust, Noord Windpark Zuid","ETRS89",52.7,4.325,4.325,52.7,"core","southern_and_central_north_sea"
17696,"hollandsekust.west.alpha","Hollandse Kust West Alpha","Hollandse Kust West Alpha","ETRS89",52.67977,3.8046,3.8046,52.67977,"core","southern_and_central_north_sea"
