"provider_dataset_id","provider_version","raw_relative_path","source_rows","unique_sample_ids","unique_dates","earliest_date","latest_date","unique_stations","core_rows","external_transfer_rows","outside_domain_rows","carbon_rows","biovolume_rows","abundance_or_count_rows","method_metadata_rows","parameters","units"
"SHARK_Phytoplankton_2012_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2012_UMSC_version_2025-03-09.zip",2910,21,21,"2012-01-17","2012-12-23",2,0,0,2910,960,0,1950,2910,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2013_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_DEEP_version_2025-03-09.zip",5262,34,23,"2013-01-30","2013-12-17",4,0,0,5262,1314,1316,2632,5262,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2013_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_SMHI_version_2025-03-09.zip",5447,34,32,"2013-01-29","2013-12-18",2,0,5447,0,1802,1,3644,5447,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2013_SMHI_TRANSPAPER","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_SMHI_TRANSPAPER_version_2025-03-09.zip",3239,37,20,"2013-03-08","2013-09-20",1,0,703,2536,921,438,1880,3239,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2013_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2013_UMSC_version_2025-03-09.zip",2276,20,20,"2013-01-14","2013-12-05",2,0,0,2276,754,0,1522,2276,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2014_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2014_DEEP_version_2025-03-09.zip",4008,31,24,"2014-02-10","2014-12-12",3,0,0,4008,1002,1002,2004,4008,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2014_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2014_SMHI_version_2025-03-09.zip",3877,23,20,"2014-02-06","2014-12-08",2,0,3877,0,1287,0,2590,3877,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2014_UMSC","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2014_UMSC_version_2025-03-09.zip",2363,19,19,"2014-01-14","2014-12-02",2,0,0,2363,783,0,1580,2363,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
"SHARK_Phytoplankton_2015_DEEP","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2015_DEEP_version_2025-03-09.zip",3448,25,20,"2015-01-13","2015-12-10",4,0,0,3448,862,862,1724,3448,"# counted|Abundance|Biovolume concentration|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|mm3/l|ugC/l"
"SHARK_Phytoplankton_2015_SMHI","2025-03-09","stage2/ds06_smhi_shark/DS06_SMHI_SHARK_20260808T191500Z/SHARK_Phytoplankton_2015_SMHI_version_2025-03-09.zip",4860,29,25,"2015-01-12","2015-12-11",2,0,4860,0,1602,0,3258,4860,"# counted|Abundance|Carbon concentration","ind/analysed sample fraction|ind/l or 100 um pieces/l|ugC/l"
