"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state"
"DS02","Pediastrum duplex","","","","AANTPVLME","N/L",1,"reported_name_diagnostic_only",12,235,11950,"name_candidate_requires_worms_validation"
"DS02","Pediastrum duplex","","","","AANTPVLME","N/ML",166,"reported_name_diagnostic_only",12,235,11950,"name_candidate_requires_worms_validation"
"DS02","Pediastrum duplex var. duplex","","","","AANTPVLME","N/L",22,"reported_name_diagnostic_only",11,733,11950,"name_candidate_requires_worms_validation"
"DS02","Pediastrum duplex var. duplex","","","","AANTPVLME","N/ML",61,"reported_name_diagnostic_only",11,733,11950,"name_candidate_requires_worms_validation"
"DS02","Pediastrum integrum","","","","AANTPVLME","N/ML",2,"reported_name_diagnostic_only",1,6217,6217,"name_candidate_requires_worms_validation"
"DS02","Pediastrum kawraiskyi","","","","AANTPVLME","N/ML",79,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum mustersii","","","","AANTPVLME","N/ML",6,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum simplex","","","","AANTPVLME","N/ML",21,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum tetras","","","","AANTPVLME","N/L",2,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum tetras","","","","AANTPVLME","N/ML",186,"no_match_key",0,,,"unmatched"
"DS02","Pedinomonas","","","","AANTPVLME","N/ML",275,"no_match_key",0,,,"unmatched"
"DS02","Pedinomonas [1]","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Pedinomonas minor","","","","AANTPVLME","N/ML",22,"no_match_key",0,,,"unmatched"
"DS02","Pedinomonas minutissima","","","","AANTPVLME","N/ML",19,"no_match_key",0,,,"unmatched"
"DS02","Pennales","","","","AANTPVLME","N/ML",146,"reported_name_diagnostic_only",31,5,875,"name_candidate_requires_worms_validation"
"DS02","Peridiniaceae","","","","AANTPVLME","N/ML",32,"no_match_key",0,,,"unmatched"
"DS02","Peridiniales","","","","AANTPVLME","N/L",7870,"reported_name_diagnostic_only",48,26,15032,"name_candidate_requires_worms_validation"
"DS02","Peridiniales","","","","AANTPVLME","N/ML",129,"reported_name_diagnostic_only",48,26,15032,"name_candidate_requires_worms_validation"
"DS02","Peridiniella danica","","","","AANTPVLME","N/L",790,"reported_name_diagnostic_only",1,363,363,"name_candidate_requires_worms_validation"
"DS02","Peridiniella danica","","","","AANTPVLME","N/ML",4,"reported_name_diagnostic_only",1,363,363,"name_candidate_requires_worms_validation"
"DS02","Peridinium","","","","AANTPVLME","N/ML",9,"reported_name_diagnostic_only",4,607,4330,"name_candidate_requires_worms_validation"
"DS02","Peridinium quadridentatum","","","","AANTPVLME","N/L",298,"reported_name_diagnostic_only",1,658,658,"name_candidate_requires_worms_validation"
"DS02","Petrodictyon gemma","","","","AANTPVLME","N/L",7,"no_match_key",0,,,"unmatched"
"DS02","Petroneis humerosa","","","","AANTPVLME","N/L",1,"reported_name_diagnostic_only",1,1847,1847,"name_candidate_requires_worms_validation"
"DS02","Phacotaceae","","","","AANTPVLME","N/ML",4,"no_match_key",0,,,"unmatched"
"DS02","Phacotus","","","","AANTPVLME","N/L",3,"reported_name_diagnostic_only",1,8,8,"name_candidate_requires_worms_validation"
"DS02","Phacotus","","","","AANTPVLME","N/ML",11,"reported_name_diagnostic_only",1,8,8,"name_candidate_requires_worms_validation"
"DS02","Phacotus lenticularis","","","","AANTPVLME","N/ML",29,"no_match_key",0,,,"unmatched"
"DS02","Phacotus lenticularis [1]","","","","AANTPVLME","N/L",2,"no_match_key",0,,,"unmatched"
"DS02","Phacotus lenticularis [1]","","","","AANTPVLME","N/ML",7,"no_match_key",0,,,"unmatched"
"DS02","Phacus","","","","AANTPVLME","N/L",33,"reported_name_diagnostic_only",11,86,1621,"name_candidate_requires_worms_validation"
"DS02","Phacus","","","","AANTPVLME","N/ML",65,"reported_name_diagnostic_only",11,86,1621,"name_candidate_requires_worms_validation"
"DS02","Phacus acuminatus","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Phacus aenigmaticus","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
