"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state","accepted_aphia_id","accepted_name","accepted_rank","taxonomy_resolution_state","authority_candidate_rows","authority_match_route","candidate_carbon_pg_lower","candidate_carbon_pg_central","candidate_carbon_pg_upper","conversion_readiness_state"
"DS04","Cnidaria",1267,,"gelatinous, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","1267","Cnidaria","Phylum","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Coccosphaerales",115059,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",718,"reported_aphia_id",0,,,"unmatched","115059","Coccosphaerales","Order","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Coelosphaerium minutissimum",146619,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",5,0.3,61,"multiple_size_or_stage_candidates","146619","Coelosphaerium minutissimum","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",0.3,,61,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Copepoda",1080,,"crustacean, holoplankton, non_carniv_zoo, copepods","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","1080","Copepoda","Class","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Corethron hystrix",179596,,"diatom, lg_phyto, phytoplankton, pelagic_diatoms","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","179596","Corethron hystrix","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Corycaeus",128634,,"crustacean, holoplankton, sm_copepods, carniv_zoo, copepods","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","128634","Corycaeus","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Corymorpha nutans",117452,,"gelatinous, meroplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","117452","Corymorpha nutans","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Corystes cassivelaunus",107277,,"","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","107277","Corystes cassivelaunus","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Coscinodiscus",148917,,"diatom, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",720,"reported_aphia_id",13,446,106978,"multiple_size_or_stage_candidates","148917","Coscinodiscus","Genus","provider_aphia_id_validated_by_worms",13,"accepted_aphia_id",446,,106978,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Coscinodiscus angustelineatus",964359,,"diatom, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",722,"reported_aphia_id",0,,,"unmatched","964359","Coscinodiscus angustelineatus","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Coscinodiscus concinnus",148992,,"diatom, lg_phyto, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",715,"reported_aphia_id",5,22466,106978,"multiple_size_or_stage_candidates","148992","Coscinodiscus concinnus","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",22466,,106978,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Coscinodiscus granii",149271,,"diatom, lg_phyto, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",743,"reported_aphia_id",9,3756,106978,"multiple_size_or_stage_candidates","149271","Coscinodiscus granii","Species","provider_aphia_id_validated_by_worms",9,"accepted_aphia_id",3756,,106978,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Coscinodiscus lacustris var. pelagica",969455,,"diatom, lg_phyto, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","969455","Coscinodiscus lacustris var. pelagica","Variety","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Coscinodiscus radiatus",149158,,"diatom, lg_phyto, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",737,"reported_aphia_id",9,859,12227,"multiple_size_or_stage_candidates","149158","Coscinodiscus radiatus","Species","provider_aphia_id_validated_by_worms",9,"accepted_aphia_id",859,,12227,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Coscinodiscus wailesii",156632,,"diatom, lg_phyto, phytoplankton, tychopelagic_diatoms","abundance","not_reported_in_plet_export",716,"reported_aphia_id",5,76082,171505,"multiple_size_or_stage_candidates","156632","Coscinodiscus wailesii","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",76082,,171505,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Crangon",107007,,"crustacean","abundance","not_reported_in_plet_export",717,"reported_aphia_id",0,,,"unmatched","107007","Crangon","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Crangon allmanni",107551,,"crustacean","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","107551","Crangon allmanni","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Crangon crangon",107552,,"crustacean","abundance","not_reported_in_plet_export",716,"reported_aphia_id",0,,,"unmatched","107552","Crangon crangon","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Crustacea",1066,,"","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","1066","Crustacea","Subphylum","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cryptomonadales",17640,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",779,"reported_aphia_id",0,,,"unmatched","17640","Cryptomonadales","Order","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cryptomonas baltica",106297,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",1,209,209,"unique_authority_row_candidate","106297","Cryptomonas baltica","Species","provider_aphia_id_validated_by_worms",1,"accepted_aphia_id",209,209,209,"candidate_only_plet_unit_and_method_unresolved"
"DS04","Ctenophora",1248,,"gelatinous, holoplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","1248","Ctenophora","Phylum","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cumacea",1137,,"crustacean, non_carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","1137","Cumacea","Order","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cyanea capillata",135301,,"gelatinous, meroplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","135301","Cyanea capillata","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cyanea lamarckii",135302,,"gelatinous, meroplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","135302","Cyanea lamarckii","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cyanodictyon planctonicum",177112,,"","abundance","not_reported_in_plet_export",716,"reported_aphia_id",5,0.14,28,"multiple_size_or_stage_candidates","177112","Cyanodictyon planctonicum","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",0.14,,28,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Cyanonephron styloides",177122,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",5,0.33,66,"multiple_size_or_stage_candidates","177122","Cyanonephron styloides","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",0.33,,66,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Cyclopina",106437,,"crustacean, holoplankton, sm_copepods, non_carniv_zoo, copepods","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","106437","Cyclopina","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cyclopoida",1101,,"crustacean, holoplankton, sm_copepods, non_carniv_zoo, copepods","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","1101","Cyclopoida","Order","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cyclops",149782,,"crustacean, holoplankton, sm_copepods, non_carniv_zoo, copepods","abundance","not_reported_in_plet_export",716,"reported_aphia_id",0,,,"unmatched","149782","Cyclops","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cyclotella",148905,,"diatom, sm_phyto, phytoplankton, pelagic_diatoms","abundance","not_reported_in_plet_export",717,"reported_aphia_id",4,8,197,"multiple_size_or_stage_candidates","148905","Cyclotella","Genus","provider_aphia_id_validated_by_worms",4,"accepted_aphia_id",8,,197,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Cyclotella choctawhatcheeana",148908,,"diatom, sm_phyto, phytoplankton, pelagic_diatoms","abundance","not_reported_in_plet_export",715,"reported_aphia_id",4,8,42,"multiple_size_or_stage_candidates","148908","Cyclotella choctawhatcheeana","Species","provider_aphia_id_validated_by_worms",4,"accepted_aphia_id",8,,42,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Cylindrotheca closterium",149004,,"diatom, lg_phyto, phytoplankton, pelagic_diatoms","abundance","not_reported_in_plet_export",717,"reported_aphia_id",5,4,31,"multiple_size_or_stage_candidates","149004","Cylindrotheca closterium","Species","provider_aphia_id_validated_by_worms",5,"accepted_aphia_id",4,,31,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Cymbomonas tetramitiformis",134545,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",716,"reported_aphia_id",2,127,212,"multiple_size_or_stage_candidates","134545","Cymbomonas tetramitiformis","Species","provider_aphia_id_validated_by_worms",2,"accepted_aphia_id",127,,212,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Daphnia",148370,,"crustacean, holoplankton, non_carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","148370","Daphnia","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Decapoda",1130,,"crustacean, meroplankton, non_carniv_zoo","abundance","not_reported_in_plet_export",718,"reported_aphia_id",0,,,"unmatched","1130","Decapoda","Order","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Dendrobranchiata",106669,,"crustacean","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","106669","Dendrobranchiata","Suborder","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Diastylis",110398,,"crustacean, meroplankton, non_carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","110398","Diastylis","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Diastylis rathkei",110487,,"crustacean","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","110487","Diastylis rathkei","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Diatoma tenuis",149014,,"diatom, lg_phyto, phytoplankton, pelagic_diatoms","abundance","not_reported_in_plet_export",717,"reported_aphia_id",7,34,105,"multiple_size_or_stage_candidates","149014","Diatoma tenuis","Species","provider_aphia_id_validated_by_worms",7,"accepted_aphia_id",34,,105,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Dicladia antennata",573458,,"diatom, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched",,"","Species","provider_aphia_id_validated_by_worms",0,"no_accepted_taxonomy",,,,"not_ready_taxonomy_unresolved"
"DS04","Dictyocha fibula",157463,,"lg_phyto, phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",2,151,889,"multiple_size_or_stage_candidates","157463","Dictyocha fibula","Species","provider_aphia_id_validated_by_worms",2,"accepted_aphia_id",151,,889,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Dinobryon",157240,,"phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",4,3,26,"multiple_size_or_stage_candidates","157240","Dinobryon","Genus","provider_aphia_id_validated_by_worms",4,"accepted_aphia_id",3,,26,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Dinobryon balticum",160552,,"phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",3,4,35,"multiple_size_or_stage_candidates","160552","Dinobryon balticum","Species","provider_aphia_id_validated_by_worms",3,"accepted_aphia_id",4,,35,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Dinobryon faculiferum",160553,,"phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",3,6,15,"multiple_size_or_stage_candidates","160553","Dinobryon faculiferum","Species","provider_aphia_id_validated_by_worms",3,"accepted_aphia_id",6,,15,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Dinophyceae",19542,,"dinoflagellate, phytoplankton","abundance","not_reported_in_plet_export",717,"reported_aphia_id",0,,,"unmatched","19542","Dinophyceae","Class","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Dinophysis",109462,,"dinoflagellate, phytoplankton, auto_and_mix_dinos","abundance","not_reported_in_plet_export",718,"reported_aphia_id",7,137,3176,"multiple_size_or_stage_candidates","109462","Dinophysis","Genus","provider_aphia_id_validated_by_worms",7,"accepted_aphia_id",137,,3176,"not_ready_multiple_size_or_stage_authority_rows"
