"ds_id","monitoring_network","station_id","subregion_id","method_epoch","year","station_identity_state","first_date","last_date","sample_count","unique_sampling_days","median_gap_days","gap_p90_days","longest_gap_days"
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2022,"provider_station","2022-03-01","2022-08-25",13,13,14.5,20.9,21
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",1990,"provider_station","1990-12-10","1990-12-10",1,1,,,
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2007,"provider_station","2007-03-20","2007-09-11",5,5,30.5,69.8,86
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2008,"provider_station","2008-05-20","2008-09-17",4,4,28,61.6,70
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2009,"provider_station","2009-01-13","2009-09-09",9,9,29.5,32.9,35
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2010,"provider_station","2010-01-12","2010-11-22",17,17,16,31,48
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2011,"provider_station","2011-02-28","2011-09-07",13,13,15,20.9,29
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2012,"provider_station","2012-03-07","2012-09-14",14,14,15,18.6,19
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2013,"provider_station","2013-02-27","2013-09-18",14,14,14,17.4,30
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2014,"provider_station","2014-02-27","2014-09-10",14,14,15,16.6,19
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2015,"provider_station","2015-03-04","2015-09-14",14,14,15,16.8,18
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2016,"provider_station","2016-02-26","2016-09-16",14,14,15,18,27
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2017,"provider_station","2017-02-27","2017-09-19",14,14,15,17,25
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2018,"provider_station","2018-03-01","2018-09-10",14,14,14,17.6,21
"DS03","RWS_MWTL","DOOVBWT_surface","southern_and_central_north_sea","unknown_not_harmonized",2019,"provider_station","2019-03-05","2019-09-13",14,14,15,16,19
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1990,"provider_station","1990-05-02","1990-05-02",1,1,,,
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1991,"provider_station","1991-07-18","1991-08-05",2,2,18,18,18
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1992,"provider_station","1992-06-15","1992-07-20",2,2,35,35,35
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1994,"provider_station","1994-04-26","1994-07-18",7,7,14,15,15
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1995,"provider_station","1995-06-07","1995-08-01",4,4,14,24.4,27
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1996,"provider_station","1996-05-21","1996-08-27",8,8,14,17.4,21
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1997,"provider_station","1997-05-12","1997-08-18",8,8,13,18.4,22
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1998,"provider_station","1998-05-06","1998-08-17",8,8,14,17.8,22
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",1999,"provider_station","1999-05-18","1999-08-30",8,8,15,16.6,19
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2000,"provider_station","2000-05-16","2000-08-21",8,8,14,14.4,15
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2001,"provider_station","2001-05-15","2001-08-27",8,8,14,17.8,22
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2002,"provider_station","2002-05-14","2002-08-28",8,8,14,17.6,20
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2003,"provider_station","2003-04-28","2003-09-01",9,9,14,20.9,23
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2004,"provider_station","2004-04-26","2004-09-01",9,9,15,21,21
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2005,"provider_station","2005-05-11","2005-08-29",9,9,13.5,16,16
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2006,"provider_station","2006-05-09","2006-08-30",9,9,14,16,16
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2007,"provider_station","2007-05-08","2007-08-29",9,9,14,15.3,16
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2008,"provider_station","2008-05-07","2008-08-26",9,9,14,15.3,16
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2009,"provider_station","2009-05-07","2009-08-24",9,9,13,16.3,17
"DS03","RWS_MWTL","DREISR_bottom","southern_and_central_north_sea","unknown_not_harmonized",2010,"provider_station","2010-05-03","2010-08-24",9,9,14,15,15
