"metadata_id","biotaxon_code","biotaxon_description","compartment_code","compartment_description","unit_code","unit_description","quantity_code","quantity_description","condition_code","condition_description","organ_code","organ_description","parameter_code","parameter_description","reported_description","process_type","typing_code","value_processing_method_code","domain_location_present","explicit_marine_phytoplankton_signal","count_or_biovolume_signal"
1168,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","OTNE","amberonne","(massa)Concentratie amberonne in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1169,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","OxBenzn","oxybenzone","(massa)Concentratie oxybenzone in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1170,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","OxT4ccne02","oxytetracycline","(massa)Concentratie oxytetracycline in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1171,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","oxzpm","oxazepam","(massa)Concentratie oxazepam in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1172,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","parctml","paracetamol","(massa)Concentratie paracetamol in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1173,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","paroetne","paroxetine","(massa)Concentratie paroxetine in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1174,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","Pb","lood","Gemiddelde (massa)Concentratie lood in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1175,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","Pb","lood","(massa)Concentratie lood in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1176,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE100","2,2',4,4',6-pentabroomdifenylether","(massa)Concentratie 2,2',4,4',6-pentabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1177,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE138","2,2',3,4,4',5'-hexabroomdifenylether","(massa)Concentratie 2,2',3,4,4',5'-hexabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1178,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE153","2,2',4,4',5,5'-hexabroomdifenylether","(massa)Concentratie 2,2',4,4',5,5'-hexabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1179,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE154","2,2',4,4',5,6'-hexabroomdifenylether","(massa)Concentratie 2,2',4,4',5,6'-hexabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1180,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE209","2,2',3,3',4,4',5,5',6,6'-decabroomdiphenylether","(massa)Concentratie 2,2',3,3',4,4',5,5',6,6'-decabroomdiphenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1181,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE28","2,4,4'-tribroomdifenylether","(massa)Concentratie 2,4,4'-tribroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1182,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE47","2,2',4,4'-tetrabroomdifenylether","(massa)Concentratie 2,2',4,4'-tetrabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1183,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE49","2,2',4,5'-tetrabroomdifenylether","(massa)Concentratie 2,2',4,5'-tetrabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1184,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE85","2,2',3,4,4'-pentabroomdifenylether","(massa)Concentratie 2,2',3,4,4'-pentabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1185,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PBDE99","2,2',4,4',5-pentabroomdifenylether","(massa)Concentratie 2,2',4,4',5-pentabroomdifenylether in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1186,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB101","2,2',4,5,5'-pentachloorbifenyl","(massa)Concentratie 2,2',4,5,5'-pentachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1187,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB118","2,3',4,4',5-pentachloorbifenyl","(massa)Concentratie 2,3',4,4',5-pentachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1188,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB138","2,2',3,4,4',5'-hexachloorbifenyl","(massa)Concentratie 2,2',3,4,4',5'-hexachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1189,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB153","2,2',4,4',5,5'-hexachloorbifenyl","(massa)Concentratie 2,2',4,4',5,5'-hexachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1190,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB180","2,2',3,4,4',5,5'-heptachloorbifenyl","(massa)Concentratie 2,2',3,4,4',5,5'-heptachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1191,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB180","2,2',3,4,4',5,5'-heptachloorbifenyl","Omreken. van passive sampler naar vrij opgeloste waterconc (massa)Concentratie 2,2',3,4,4',5,5'-heptachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","SRPSCW",TRUE,FALSE,FALSE
1192,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB28","2,4,4'-trichloorbifenyl","(massa)Concentratie 2,4,4'-trichloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1193,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PCB52","2,2',5,5'-tetrachloorbifenyl","(massa)Concentratie 2,2',5,5'-tetrachloorbifenyl in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1194,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PeClBen","pentachloorbenzeen","(massa)Concentratie pentachloorbenzeen in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1195,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PeClFol","pentachloorfenol","(massa)Concentratie pentachloorfenol in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1196,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","penccrn","pencycuron","(massa)Concentratie pencycuron in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1197,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pencnzl","penconazool","(massa)Concentratie penconazool in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1198,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PF1DSA","Perfluordecaansulfonamide","(massa)Concentratie Perfluordecaansulfonamide in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1199,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFBA","perfluorbutaanzuur","(massa)Concentratie perfluorbutaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1200,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFC4asfAd","perfluorbutaansulfonamide","(massa)Concentratie perfluorbutaansulfonamide in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1201,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFC5asfzr","perfluorpentaansulfonzuur","(massa)Concentratie perfluorpentaansulfonzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1202,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFC9asfzr","perfluornonaansulfonzuur","(massa)Concentratie perfluornonaansulfonzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1203,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFDA","perfluordecaanzuur","(massa)Concentratie perfluordecaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1204,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFdC1yDOxazr","Perfluor-2,5-dimethyl-3,6-dioxanonaanzuur","(massa)Concentratie Perfluor-2,5-dimethyl-3,6-dioxanonaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1205,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFDHpA","perfluor-3,6-dioxaheptaanzuur","(massa)Concentratie perfluor-3,6-dioxaheptaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1206,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFDoA","perfluordodecaanzuur","(massa)Concentratie perfluordodecaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1207,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFEES","perfluor(2-ethoxyethaan)sulfonzuur","(massa)Concentratie perfluor(2-ethoxyethaan)sulfonzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1208,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFHpA","perfluorheptaanzuur","(massa)Concentratie perfluorheptaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1209,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFHxA","perfluorhexaanzuur","(massa)Concentratie perfluorhexaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1210,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFHxSA","perfluorhexaansulfonamide","(massa)Concentratie perfluorhexaansulfonamide in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1211,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFMBA","perfluor-4-methoxybutaanzuur","(massa)Concentratie perfluor-4-methoxybutaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1212,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFMPrA","perfluor-3-methoxypropaanzuur","(massa)Concentratie perfluor-3-methoxypropaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1213,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFNA","perfluornonaanzuur","(massa)Concentratie perfluornonaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1214,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFOA","perfluoroctaanzuur","(massa)Concentratie perfluoroctaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1215,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFOS","perfluoroctaansulfonzuur","(massa)Concentratie perfluoroctaansulfonzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1216,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFOSA","perfluoroctaansulfonamide","(massa)Concentratie perfluoroctaansulfonamide in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1217,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFPA","perfluorpentaanzuur","(massa)Concentratie perfluorpentaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1218,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFTDA","perfluortridecaanzuur","(massa)Concentratie perfluortridecaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1219,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFTeDA","perfluortetradecaanzuur","(massa)Concentratie perfluortetradecaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1220,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PFUdA","perfluorundecaanzuur","(massa)Concentratie perfluorundecaanzuur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1221,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","PIGMT","Pigment","(massa)Concentratie Pigment in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1222,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pipprn","pipamperon","(massa)Concentratie pipamperon in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1223,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","piprnbO","piperonyl-butoxide","(massa)Concentratie piperonyl-butoxide in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1224,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pirmcb","pirimicarb","(massa)Concentratie pirimicarb in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1225,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","poxflne","pentoxifylline","(massa)Concentratie pentoxifylline in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1226,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","Pr","praseodymium","(massa)Concentratie praseodymium in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1227,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","primdn","primidon","(massa)Concentratie primidon in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1228,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","proClaz","prochloraz","(massa)Concentratie prochloraz in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1229,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","procmdn","procymidon","(massa)Concentratie procymidon in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1230,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","profm","profam","(massa)Concentratie profam in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1231,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","promtne","prometryne","Gemiddelde (massa)Concentratie prometryne in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1232,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","promtne","prometryne","(massa)Concentratie prometryne in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1233,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propAd","propyzamide","(massa)Concentratie propyzamide in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1234,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propCl","propachloor","(massa)Concentratie propachloor in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1235,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propcnzl","propiconazol (som cis- en trans-)","(massa)Concentratie propiconazol (som cis- en trans-) in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1236,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propmcb","propamocarb","(massa)Concentratie propamocarb in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1237,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propnl","propanil","(massa)Concentratie propanil in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1238,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propnll","propranolol","(massa)Concentratie propranolol in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1239,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propxr","propoxur","(massa)Concentratie propoxur in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1240,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propzne","propazine","Gemiddelde (massa)Concentratie propazine in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1241,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","propzne","propazine","(massa)Concentratie propazine in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1242,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","prosfcb","prosulfocarb","Gemiddelde (massa)Concentratie prosulfocarb in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1243,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","prosfcb","prosulfocarb","(massa)Concentratie prosulfocarb in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1244,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","Pt","platina","(massa)Concentratie platina in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1245,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","Pyr","pyreen","(massa)Concentratie pyreen in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1246,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrazfs","pyrazofos","(massa)Concentratie pyrazofos in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1247,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrdbn","pyridaben","(massa)Concentratie pyridaben in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1248,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrdne","pyridine","Gemiddelde (massa)Concentratie pyridine in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1249,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrdne","pyridine","(massa)Concentratie pyridine in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1250,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrpxfn","pyriproxyfen","(massa)Concentratie pyriproxyfen in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1251,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrzl","pyrazol","Gemiddelde (massa)Concentratie pyrazol in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1252,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","pyrzl","pyrazol","(massa)Concentratie pyrazol in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1253,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","quinlne","quinoline","(massa)Concentratie quinoline in Oppervlaktewater in ug/l","meting","NVT","NVT",FALSE,FALSE,FALSE
1254,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","quinoxfn","quinoxyfen","(massa)Concentratie quinoxyfen in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1255,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","Rb","rubidium","(massa)Concentratie rubidium in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1256,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","s1214DClBen","som 1,2- en 1,4-dichloorbenzeen","(massa)Concentratie som 1,2- en 1,4-dichloorbenzeen in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
1257,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","s1314xyln","som 1,3- en 1,4-xyleen","Gemiddelde (massa)Concentratie som 1,3- en 1,4-xyleen in Oppervlaktewater in ug/l","meting","NVT","GEM",FALSE,FALSE,FALSE
1258,"NVT","NVT","OW","Oppervlaktewater","ug/l","microgram per liter","CONCTTE","(massa)Concentratie","NVT","NVT","NVT","NVT","s1314xyln","som 1,3- en 1,4-xyleen","(massa)Concentratie som 1,3- en 1,4-xyleen in Oppervlaktewater in ug/l","meting","NVT","NVT",TRUE,FALSE,FALSE
