"file_name","raw_relative_path","source_rows","valid_coordinate_rows","valid_time_rows","chlorophyll_present_rows","qc_eligible_chlorophyll_rows","usable_secondary_rows","core_usable_rows","external_transfer_usable_rows","outside_domain_usable_rows","invalid_coordinate_usable_rows","first_datetime_utc","last_datetime_utc"
"HZG-Ferrybox_Harw-CuxNR8678.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8678.nc",5752,5752,5752,5752,5752,5752,5752,0,0,0,"2002-04-15T15:29:05Z","2002-04-16T07:27:35Z"
"HZG-Ferrybox_Cux-HarwNR8698.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8698.nc",4493,4493,4493,4493,4493,4493,4493,0,0,0,"2002-04-16T16:22:25Z","2002-04-17T08:34:43Z"
"HZG-Ferrybox_Harw-CuxNR8718.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8718.nc",4242,4242,4242,4242,4242,4242,4242,0,0,0,"2002-04-17T15:18:14Z","2002-04-18T07:28:25Z"
"HZG-Ferrybox_Cux-HarwNR8743.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8743.nc",3222,3222,3222,3222,3222,3222,3222,0,0,0,"2002-04-18T16:30:44Z","2002-04-19T08:29:06Z"
"HZG-Ferrybox_Harw-CuxNR8749.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8749.nc",5215,5215,5215,5215,5215,5215,5215,0,0,0,"2002-04-19T15:29:44Z","2002-04-20T07:25:55Z"
"HZG-Ferrybox_Cux-HarwNR8755.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8755.nc",5254,5254,5254,5254,5254,5254,5254,0,0,0,"2002-04-20T16:27:35Z","2002-04-21T08:31:56Z"
"HZG-Ferrybox_Harw-CuxNR8761.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8761.nc",5099,5099,5099,5099,5099,5099,5099,0,0,0,"2002-04-21T15:30:25Z","2002-04-22T07:26:15Z"
"HZG-Ferrybox_Cux-HarwNR8767.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8767.nc",5284,5284,5284,5284,5284,5284,5284,0,0,0,"2002-04-22T16:30:55Z","2002-04-23T08:34:43Z"
"HZG-Ferrybox_Harw-CuxNR8773.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8773.nc",5214,5214,5214,5214,5214,5214,5214,0,0,0,"2002-04-23T15:35:35Z","2002-04-24T07:23:05Z"
"HZG-Ferrybox_Cux-HarwNR8779.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8779.nc",5234,5234,5234,5234,5234,5234,5234,0,0,0,"2002-04-24T16:32:56Z","2002-04-25T08:27:45Z"
