"provider_taxon_id","scientific_name","occurrence_rows"
"1660","Calanus simillimus",437
"1661","Calanus simillimus",427
"10511","Rhabdosphaera clavigera",419
"171","Guinardia flaccida",419
"167","Detonula confervacea",417
"510","Branchiostoma lanceolatum",415
"10668","Dinophyceae",403
"246","Ceratium teres",387
"386","Eucalanus hyalinus",385
"271","Glenodinium spp.",384
"10504","Brown cysts",382
"946","Rotifera",377
"10577","",376
"173","Hemiaulus spp.",375
"324","Tortanus discaudatus",375
"1631","Chaetoceros dichaeta",368
"10626","Podosira stelligera",365
"203","Pachysphaera spp.",365
"1621","Fragilariopsis spp",359
"229","Ceratium declinatum",359
"10505","Scrippsiella cysts",357
"10650","Favella spp. (unidentified)",352
"470","Atlanta spp.",341
"158","Odontella granulata",340
"1569","Paraeuchaeta elongata",330
"813","Candacia",325
"10542","Dadayiella spp.",323
"1648","Calanoida",313
"1677","Metridia",313
"228","Ceratium compressum",309
"304","Ctenocalanus vanus",306
"152","Asteromphalus spp.",298
"1659","Calanus simillimus",293
"300","Acartia danae",287
"382","Centropages violaceus",285
"1552","Neocalanus plumchrus",283
"10682","Proboscia curvirostris",280
"10531","",276
"10552","Stenosemella spp.",264
"10639","Goniodoma polyedricum",264
"10567","Porcellana zoea",262
"132","Pyrophacus spp.",261
"424","Paracandacia simplex",261
"980","Actiniscus pentasterias",258
"10580","Pleuromamma I-IV (Trav)",256
"10375","Phalacroma rotundatum",255
"1577","Mollusca",255
"325","Urocorycaeus spp.",246
"951","Kuhnia scombri",243
"461","Cavolinia spp.",238
"474","Pneumodermopsis paucidens",238
"1654","Thecosomata",235
"1644","Ctenocalanus spp.",229
"997","Corycaeus speciosus",226
"10670","Tintinnida cyst",225
"151","Actinoptychus spp.",222
"235","Ceratium lamellicorne",220
"1596","Rhizosolenia pungens",216
"10629","Pseudosolenia calcar-avis",211
"373","Candacia bipinnata",199
"10509","Braarudosphaera bigelowii",198
"307","Euterpina acutifrons",197
"10712","",194
"1557","Epilabidocera amphitrites",194
"10587","Clytemnestridae",193
"1600","Calanus",191
"10636","Detonula pumila",189
"378","Candacia pachydactyla",189
"972","Centropages chierchiae",189
"10663","Rhincalanus gigas",185
"981","Nitzschia longissima",182
"10547","Parundella spp.",179
"10666","Thysanoessa spp. (Antarctic)",177
"248","Ceratium vultur",173
"10545","Helicostomella spp.",169
"480","Gymnosomata",169
"1633","Eucampia antarctica",168
"10674","Gastropoda (unidentified)",165
"428","Euchirella",165
"10564","Thalia democratica",162
"10548","Proplectella spp.",161
"179","Planktoniella sol",156
"999","Lucifer spp.",156
"10659","Neocalanus tonsus",155
"806","Hexasterias problematica",155
"85","Pneumodermopsis",153
"409","Paracandacia bispinosa",151
"1585","Rhizosolenia hebetata",150
"1603","Dinophysis caudata",150
"1662","Calanus simillimus",149
"264","Ptychodiscus noctiluca",147
"318","Parapontella brevicornis",146
"10707","Fungi (+ only)",144
"220","Amphisolenia spp.",143
"249","Ceratocorys spp.",142
"383","Copilia spp.",141
"5500","Ammodytidae",140
"200","Odontella mobiliensis",134
"1658","Calanus simillimus",132
"1618","Entelurus aequoreus",130
"1632","Dactyliosolen spp.",130
"509","Stomatopoda",126
"162","Cerataulina pelagica",124
"1686","Rhizosolenia polydactyla",124
"10720","Plastic strand green",123
"413","Rhincalanus cornutus",121
"225","Ceratium buceros",120
"310","Miracia efferata",119
"807","Pacillina arctica",119
"418","Undeuchaeta major",116
"1697","Neocalanus tonsus",114
"947","Diploneis spp.",111
"10653","Calanoides acutus",110
"10610","Parathalestris croni",108
"394","Euchaeta media",108
"10603","Paraeuchaeta gracilis",107
"369","Heterorhabdus",102
"463","Diacria spp.",101
"1673","Rhincalanus gigas",99
"10516","Pterosperma moebii",97
"10731","Plastic flake blue",97
"1571","Candacia columbiae",97
"818","Phalacroma spp.",97
"223","Ceratium belone",96
"316","Microcalanus spp.",96
"10598","Subeucalanus monachus",95
"10502","Operculodinium centrocarpum",94
"10735","Plastic flake colour other",93
"1637","Rhizosolenia simplex",91
"440","Labidocera aestiva",91
"984","Gyrodinium spp.",91
"268","Pyrocystis spp.",90
"10672","Euphausia",89
"1649","Rhincalanus nauplii",88
"1705","Euphausia vallentini",87
"10730","Plastic flake black",86
"1675","Subeucalanus longiceps",86
"319","Pontellina plumata",86
"258","Pronoctiluca pelagica",83
"244","Ceratium pulchellum",82
"975","Nitzschia sigma rigida",80
"1695","Calanoides acutus",79
"435","Undeuchaeta",79
"10507","Black spine cyst",77
"1572","Heterorhabdus tanneri",77
"309","Macrosetella gracilis",75
"1593","Pontellidae",71
"10688","Pseudodiaptomus",67
"465","Pneumodermopsis ciliata",67
